timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1661885100,Aug 30 2022 - 6:45pm,complete,70750,Inter Milan,Cremonese,Francesco Fourneau,4,3.00,0.00,2.45,0.45,3,1,4,2,2,0,"12,38,76","90",6,6,0,0,3,0,0,0,0,3,17,15,7,6,10,9,6,14,53,47,2.44,1.50,1.89,1.63,3.00,25,75,75,25,25,25,75,75,100,15.00,4.00,1.22,6.75,12.50,1.13,1.36,2.07,3.18,2.05,1.70,Stadio Giuseppe Meazza (Milano)
1661885100,Aug 30 2022 - 6:45pm,complete,60669,Roma,Monza,Marco Piccinini,4,3.00,0.00,1.90,1.27,3,0,3,2,2,0,"18,32,61","",5,4,0,0,3,0,0,0,2,1,15,14,7,2,8,12,10,7,39,61,2.92,0.80,1.68,1.45,2.50,0,50,50,50,0,50,50,50,100,9.00,1.00,1.27,6.00,10.50,1.20,1.60,2.30,4.33,2.00,1.75,Stadio Olimpico (Roma)
1661963400,Aug 31 2022 - 4:30pm,complete,N/A,Empoli,Hellas Verona,Marco Serra,4,1.00,1.00,1.45,0.40,1,1,2,1,1,0,"26","69",7,10,0,0,4,0,0,0,2,2,17,11,5,4,12,7,5,22,51,49,0.67,1.84,1.84,1.31,1.00,50,50,0,0,0,50,50,0,0,9.00,6.00,2.60,3.60,2.70,1.23,1.68,2.71,4.75,1.57,2.25,Stadio Carlo Castellani (Empoli)
1661963400,Aug 31 2022 - 4:30pm,complete,N/A,Sampdoria,Lazio,Gianluca Aureliano,4,0.50,1.00,0.27,1.80,1,1,2,1,0,1,"90'2","21",5,7,0,0,2,0,0,0,0,2,14,14,4,7,10,7,11,10,44,56,1.22,0.91,1.41,1.78,0.50,0,25,0,0,0,0,25,0,25,7.00,8.50,4.10,3.80,1.89,1.30,1.81,3.28,5.75,1.75,2.00,Stadio Comunale Luigi Ferraris (Genova)
1661963400,Aug 31 2022 - 4:30pm,complete,19684,Udinese,Fiorentina,Maurizio Mariani,4,1.00,1.00,1.36,0.82,1,0,1,1,1,0,"17","",3,7,1,0,2,0,0,1,0,2,11,13,5,2,6,11,13,10,26,74,1.64,2.15,1.27,1.41,0.00,0,0,0,0,0,0,0,0,0,15.00,7.00,2.60,3.60,2.70,1.23,1.70,2.74,4.80,1.57,2.25,Dacia Arena (Udine)
1661971500,Aug 31 2022 - 6:45pm,complete,35709,Juventus,Spezia,Andrea Colombo,4,2.00,0.00,2.25,0.64,2,0,2,1,1,0,"9,90'2","",7,3,0,0,2,0,0,0,1,1,17,11,4,2,13,9,1,0,51,49,1.67,0.57,1.58,1.12,2.75,25,100,75,0,0,25,100,50,100,7.50,1.50,1.30,5.70,10.00,1.20,1.58,2.20,4.75,2.05,1.70,Allianz Stadium (Torino)
1661971500,Aug 31 2022 - 6:45pm,complete,N/A,Napoli,Lecce,Matteo Marcenaro,4,3.00,0.00,2.82,1.09,1,1,2,2,1,1,"27","31",6,4,1,0,4,0,1,0,2,2,19,11,8,6,11,5,0,1,71,29,2.30,1.01,2.26,1.32,2.50,0,50,50,50,0,50,100,50,50,14.00,3.00,1.26,6.60,11.00,1.15,1.64,2.33,3.75,1.95,1.80,Stadio Diego Armando Maradona (Napoli)
1662057900,Sep 01 2022 - 6:45pm,complete,17928,Atalanta,Torino,Marco Di Bello,4,1.00,3.00,1.70,1.25,3,1,4,1,1,0,"45'4,47,84","77",7,2,1,0,3,0,1,0,1,2,13,11,7,5,6,6,14,13,41,59,1.16,1.58,1.56,1.44,2.50,100,100,50,0,0,0,100,50,100,9.00,6.50,1.53,4.10,5.50,1.21,1.70,2.25,4.40,1.70,2.05,Gewiss Stadium (Bergamo)
1662057900,Sep 01 2022 - 6:45pm,complete,19787,Bologna,Salernitana,Davide Ghersini,4,1.00,1.00,1.58,0.82,1,1,2,0,0,0,"52","88",1,8,2,0,2,0,0,2,0,2,13,20,4,2,9,18,10,11,47,53,1.94,1.95,1.37,1.86,1.00,50,50,0,0,0,50,50,0,0,15.00,9.00,1.80,3.50,4.20,1.26,1.83,2.96,5.25,1.70,2.05,Stadio Renato Dall'Ara (Bologna)
1662210000,Sep 03 2022 - 1:00pm,complete,N/A,Fiorentina,Juventus,Daniele Doveri,5,2.00,1.00,1.36,1.70,1,1,2,2,1,1,"29","9",10,2,1,0,3,0,1,0,1,2,20,4,7,2,13,2,13,12,60,40,2.22,1.37,2.51,0.51,1.25,25,25,25,25,25,25,25,25,25,10.50,3.00,3.10,3.20,2.45,1.33,2.11,3.50,7.00,1.75,1.98,Stadio Artemio Franchi (Firenze)
